Event1	Event2	Model1	Model2	LRT	Pvalue	combinedModels	df	name_e1	name_e2	logPVAL	lambda1	lambda2
4	21	i	a	12.0781350144	0.0005102	ia	1	scaA	scyC	3.29225954572623	1	Inf
4	43	i	a	7.08139098580001	0.007789	ia	1	scaA	slcL	2.10851829616048	1	249.775202317914
4	60	i	a	6.062569895	0.01381	ia	1	scaA	slfL	1.85980632142137	1	142.726649920073
4	95	i	a	7.5849115754	0.005886	ia	1	scaA	blpO	2.23017974223641	1	333.033603090552
4	100	i	a	7.5849115754	0.005886	ia	1	scaA	blpG	2.23017974223641	1	333.033603090552
4	101	i	a	7.5849115754	0.005886	ia	1	scaA	blpV	2.23017974223641	1	333.033603090552
7	8	I	A	38.4340344918	5.664e-10	IA	1	scbA	scbB	9.24687675531829	1	64.2095800693463
7	16	i	b	9.53486911719999	0.002016	ib	1	scbA	sceA	2.69550947222651	142.838777871417	1
7	23	i	b	9.72043877039999	0.001822	ib	1	scbA	scyE	2.73945162736302	142.853061341105	1
7	24	i	b	9.72043877039999	0.001822	ib	1	scbA	slaA1	2.73945162736302	142.853061341105	1
7	45	i	b	9.72043877039999	0.001822	ib	1	scbA	sldA	2.73945162736302	142.853061341105	1
7	47	i	b	9.72043877039999	0.001822	ib	1	scbA	sldC	2.73945162736302	142.853061341105	1
8	16	i	b	7.625607229	0.005755	ib	1	scbB	sceA	2.23995467203419	52.6260393642774	1
8	22	i	b	23.3080505006	1.38e-06	ib	1	scbB	scyD	5.86012091359876	10.2173265852932	1
8	23	i	b	7.80895156620002	0.005199	ib	1	scbB	scyE	2.28408018256642	52.6288090100521	1
8	24	i	b	7.80895156620002	0.005199	ib	1	scbB	slaA1	2.28408018256642	52.6288090100521	1
8	44	i	b	26.3386211132	2.865e-07	ib	1	scbB	slcT	6.54287537369659	11.5037984761863	1
8	45	i	b	7.80895156620002	0.005199	ib	1	scbB	sldA	2.28408018256642	52.6288090100521	1
8	47	i	b	7.80895156620002	0.005199	ib	1	scbB	sldC	2.28408018256642	52.6288090100521	1
8	51	i	a	5.99198122819996	0.01437	ia	1	scbB	sleA2	1.84254323186577	1	5.59200486500752
11	16	i	b	10.5584112376	0.001157	ib	1	sccB	sceA	2.93666664104825	249.968753905762	1
11	22	i	a	38.9109921784	4.436e-10	ia	1	sccB	scyD	9.35300846252288	1	199.397818587865
11	23	i	b	10.7445371532	0.001046	ib	1	sccB	scyE	2.98046831546874	249.993750156246	1
11	24	i	b	10.7445371532	0.001046	ib	1	sccB	slaA1	2.98046831546874	249.993750156246	1
11	44	i	a	36.485348296	1.538e-09	ia	1	sccB	slcT	8.81304366453459	1	142.427824699833
11	45	i	b	10.7445371532	0.001046	ib	1	sccB	sldA	2.98046831546874	249.993750156246	1
11	46	i	a	22.7262734582	1.868e-06	ia	1	sccB	sldB	5.72862312810593	1	199.560965875075
11	47	i	b	10.7445371532	0.001046	ib	1	sccB	sldC	2.98046831546874	249.993750156246	1
