Event1	Event2	Tree	Model	lnML	ML	mu1	mu1star	nu1	nu1star	mu2	mu2star	nu2	nu2star
4	21	1	i	-11.5610392766	9.5303e-06	1	1	1	1	1	1	1	1
4	21	1	a	-5.5219717694	0.003998	1	1	1	1	0	1000	0	1000
4	21	1	b	-5.5219717694	0.003998	0	1000	0	1000	1	1	1	1
4	21	1	l	-5.5219717694	0.003998	1	NA	1	NA	0	1000	0	1000
4	21	1	I	-11.4994044857	1.0136e-05	1.0334	1.0334	0	0	1.0292	1.0292	0	0
4	21	1	A	-5.4906889147	0.004125	1.0318	1.0318	0	0	0	1000	0	0
4	21	1	B	-5.4906889147	0.004125	0	1000	0	0	1.0318	1.0318	0	0
4	21	1	L	-5.4906889147	0.004125	1.0318	NA	0	0	0	1000	0	0
4	43	1	i	-33.8333849404	2.0246e-15	1	1	1	1	5	5	5	5
4	43	1	a	-30.2926894475	6.9832e-14	1	1	1	1	4.0036	1000	4.0036	1000
4	43	1	b	-30.6754622062	4.7623e-14	0	23.608	0	23.608	5	5	5	5
4	43	1	l	-30.2532024692	7.2644e-14	1.0403	0	1.0403	0	4.0037	1000	4.0037	1000
4	43	1	I	-33.3105465071	3.4152e-15	1.0334	1.0334	0	0	4.282	4.282	15.185	15.185
4	43	1	A	-29.6225806786	1.3648e-13	1.0317	1.0317	0	0	3.3853	1000	12.554	1000
4	43	1	B	-30.2245523622	7.4756e-14	0	23.661	0	0	4.2992	4.2992	14.369	14.369
4	43	1	L	-29.5818858624	1.4215e-13	1.0746	0	0	0	3.3853	1000	12.552	1000
4	60	1	i	-42.5135999556	3.4402e-19	1	1	1	1	8	8	8	8
4	60	1	a	-39.4823150081	7.1293e-18	1	1	1	1	7.0064	1000	7.0064	1000
4	60	1	b	-40.5669607297	2.4099e-18	0	7.0103	0	7.0103	8	8	8	8
4	60	1	l	-39.3327518469	8.2795e-18	1.1613	0	1.1613	0	7.0064	1000	7.0064	1000
4	60	1	I	-40.9809733868	1.5929e-18	1.0292	1.0292	0	0	9.6562	9.6562	0	0
4	60	1	A	-38.1544144807	2.69e-17	1.0319	1.0319	0	0	8.4336	1000	0	0
4	60	1	B	-39.0649236276	1.0822e-17	0	6.9979	0	0	9.654	9.654	0	0
4	60	1	L	-37.9994675038	3.1408e-17	1.2048	0	0	0	8.4338	1000	0	0
4	95	1	i	-24.4476686333	2.4128e-11	1	1	1	1	4	4	4	4
4	95	1	a	-20.6552128456	1.0704e-09	1	1	1	1	3.0027	1000	3.0027	1000
4	95	1	b	-21.5783790835	4.2524e-10	0	17.684	0	17.684	4	4	4	4
4	95	1	l	-20.6007748443	1.1303e-09	1.056	0	1.056	0	3.0027	1000	3.0027	1000
4	95	1	I	-24.0620627223	3.548e-11	1.0292	1.0292	0	0	4.3735	4.3735	0	0
4	95	1	A	-20.3640346836	1.4322e-09	1.0318	1.0318	0	0	3.2746	1000	0	0
4	95	1	B	-21.2229451209	6.0673e-10	0	17.66	0	0	4.3719	4.3719	0	0
4	95	1	L	-20.3077645794	1.5151e-09	1.0916	0	0	0	3.2747	1000	0	0
4	100	1	i	-24.4476686333	2.4128e-11	1	1	1	1	4	4	4	4
