Event1	Event2	Model1	Model2	LRT	Pvalue	combinedModels	df
4	21	i	a	12.0781350144	0.0005102	ia	1
4	21	i	b	12.0781350144	0.0005102	ib	1
4	21	i	l	12.0781350144	0.002384	il	2
4	21	i	I	0.123269581800002	0.9402	iI	2
4	21	a	l	0	1	al	1
4	21	a	A	0.0625657094000012	0.9692	aA	2
4	21	b	l	0	1	bl	1
4	21	b	B	0.0625657094000012	0.9692	bB	2
4	21	l	L	0.0625657094000012	0.9692	lL	2
4	21	I	A	12.017431142	0.0005271	IA	1
4	21	I	B	12.017431142	0.0005271	IB	1
4	21	I	L	12.017431142	0.002457	IL	2
4	21	A	L	0	1	AL	1
4	21	B	L	0	1	BL	1
4	43	i	a	7.08139098580001	0.007789	ia	1
4	43	i	b	6.31584546840001	0.01197	ib	1
4	43	i	l	7.1603649424	0.02787	il	2
4	43	i	I	1.0456768666	0.5928	iI	2
4	43	a	l	0.0789739565999952	0.7787	al	1
4	43	a	A	1.3402175378	0.5117	aA	2
4	43	b	l	0.844519473999995	0.3581	bl	1
4	43	b	B	0.901819687999996	0.637	bB	2
4	43	l	L	1.3426332136	0.511	lL	2
4	43	I	A	7.375931657	0.00661	IA	1
4	43	I	B	6.1719882898	0.01298	IB	1
4	43	I	L	7.4573212894	0.02402	IL	2
4	43	A	L	0.081389632399997	0.7754	AL	1
4	43	B	L	1.2853329996	0.2569	BL	1
4	60	i	a	6.062569895	0.01381	ia	1
4	60	i	b	3.8932784518	0.04848	ib	1
4	60	i	l	6.3616962174	0.04155	il	2
4	60	i	I	3.0652531376	0.216	iI	2
4	60	a	l	0.299126322399999	0.5844	al	1
4	60	a	A	2.65580105480001	0.265	aA	2
4	60	b	l	2.46841776559999	0.1162	bl	1
4	60	b	B	3.00407420419999	0.2227	bB	2
4	60	l	L	2.66656868620001	0.2636	lL	2
4	60	I	A	5.65311781220001	0.01742	IA	1
4	60	I	B	3.8320995184	0.05028	IB	1
4	60	I	L	5.96301176600001	0.05072	IL	2
4	60	A	L	0.3098939538	0.5777	AL	1
4	60	B	L	2.13091224760001	0.1444	BL	1
4	95	i	a	7.5849115754	0.005886	ia	1
4	95	i	b	5.7385790996	0.0166	ib	1
4	95	i	l	7.69378757800001	0.02135	il	2
4	95	i	I	0.771211822000005	0.68	iI	2
4	95	a	l	0.108876002600006	0.7414	al	1
4	95	a	A	0.582356324000003	0.7474	aA	2
4	95	b	l	1.9552084784	0.162	bl	1
4	95	b	B	0.710867925199999	0.7009	bB	2
4	95	l	L	0.586020529799995	0.746	lL	2
4	95	I	A	7.3960560774	0.006537	IA	1
4	95	I	B	5.6782352028	0.01718	IB	1
4	95	I	L	7.5085962858	0.02342	IL	2
4	95	A	L	0.112540208399999	0.7373	AL	1
4	95	B	L	1.830361083	0.1761	BL	1
4	100	i	a	7.5849115754	0.005886	ia	1
4	100	i	b	5.7385790996	0.0166	ib	1
4	100	i	l	7.69378757800001	0.02135	il	2
4	100	i	I	0.771211822000005	0.68	iI	2
4	100	a	l	0.108876002600006	0.7414	al	1
4	100	a	A	0.582356324000003	0.7474	aA	2
4	100	b	l	1.9552084784	0.162	bl	1
4	100	b	B	0.710867925199999	0.7009	bB	2
4	100	l	L	0.586020529799995	0.746	lL	2
4	100	I	A	7.3960560774	0.006537	IA	1
4	100	I	B	5.6782352028	0.01718	IB	1
4	100	I	L	7.5085962858	0.02342	IL	2
4	100	A	L	0.112540208399999	0.7373	AL	1
4	100	B	L	1.830361083	0.1761	BL	1
4	101	i	a	7.5849115754	0.005886	ia	1
4	101	i	b	5.7385790996	0.0166	ib	1
4	101	i	l	7.69378757800001	0.02135	il	2
4	101	i	I	0.771211822000005	0.68	iI	2
4	101	a	l	0.108876002600006	0.7414	al	1
4	101	a	A	0.582356324000003	0.7474	aA	2
4	101	b	l	1.9552084784	0.162	bl	1
4	101	b	B	0.710867925199999	0.7009	bB	2
4	101	l	L	0.586020529799995	0.746	lL	2
4	101	I	A	7.3960560774	0.006537	IA	1
4	101	I	B	5.6782352028	0.01718	IB	1
4	101	I	L	7.5085962858	0.02342	IL	2
4	101	A	L	0.112540208399999	0.7373	AL	1
4	101	B	L	1.830361083	0.1761	BL	1
7	8	i	a	41.3047457496	1.303e-10	ia	1
7	8	i	b	32.8094294806	1.017e-08	ib	1
7	8	i	l	41.3110552796	1.07e-09	il	2
7	8	i	I	6.8425882958	0.03267	iI	2
7	8	a	l	0.00630953000001	0.9367	al	1
7	8	a	A	3.971877038	0.1373	aA	2
7	8	b	l	8.50162579900001	0.003548	bl	1
7	8	b	B	4.95395676700002	0.084	bB	2
7	8	l	L	3.96840334699999	0.1375	lL	2
7	8	I	A	38.4340344918	5.664e-10	IA	1
7	8	I	B	30.9207979518	2.688e-08	IB	1
7	8	I	L	38.4368703308	4.503e-09	IL	2
7	8	A	L	0.0028358389999994	0.9575	AL	1
7	8	B	L	7.51607237899998	0.006115	BL	1
7	16	i	a	1.06083238899998	0.303	ia	1
7	16	i	b	9.53486911719999	0.002016	ib	1
7	16	i	l	10.235431906	0.00599	il	2
7	16	i	I	1.8719309942	0.3922	iI	2
7	16	a	l	9.174599517	0.002454	al	1
7	16	a	A	1.8674184084	0.3931	aA	2
7	16	b	l	0.700562788799999	0.4026	bl	1
7	16	b	B	1.6376077022	0.441	bB	2
7	16	l	L	1.63959215920001	0.4405	lL	2
