Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	A    	-5.4906889147 	0.004125      	1.0318	1.0318	0   	0   	0   	1000	0   	0   
4         	95        	1         	A    	-20.3640346836	1.4322e-09    	1.0318	1.0318	0   	0   	3.2746	1000	0   	0   
4         	100       	1         	A    	-20.3640346836	1.4322e-09    	1.0318	1.0318	0   	0   	3.2746	1000	0   	0   
4         	101       	1         	A    	-20.3640346836	1.4322e-09    	1.0318	1.0318	0   	0   	3.2746	1000	0   	0   
7         	8         	1         	A    	-110.6638527842	8.6956e-49    	9.0208	9.0208	0   	0   	15.574	1000	4.4494	285.68
7         	22        	1         	A    	-76.7545497131	4.6336e-34    	9.026	9.026	0   	0   	8.0946	28.843	6.462	23.026
7         	23        	1         	A    	-45.1053758106	2.5762e-20    	8.9909	8.9909	0   	0   	0   	9.0766	0   	1000
7         	24        	1         	A    	-45.1053758106	2.5762e-20    	8.9909	8.9909	0   	0   	0   	9.0766	0   	1000
7         	43        	1         	A    	-64.5467719693	9.2831e-29    	8.9918	8.9918	8.9918e-07	8.9918e-07	4.8603	0   	14.824	0   
7         	44        	1         	A    	-80.8831094676	7.463e-36     	8.9594	8.9594	8.9594e-07	8.9594e-07	15.144	0   	5.6766	0   
7         	45        	1         	A    	-45.1053758106	2.5762e-20    	8.9909	8.9909	0   	0   	0   	9.0766	0   	1000
7         	47        	1         	A    	-45.1053758106	2.5762e-20    	8.9909	8.9909	0   	0   	0   	9.0766	0   	1000
8         	22        	1         	A    	-127.8097714629	3.1112e-56    	24.845	24.845	4.2504	4.2504	4.4314	34.785	6.6578	52.261
8         	43        	1         	A    	-117.1173565623	1.3696e-51    	24.557	24.557	4.4191	4.4191	5.4549	0   	14.227	0   
8         	44        	1         	A    	-132.2609598182	3.6291e-58    	24.91	24.91	4.215	4.215	5.9747	41.585	6.1668	42.922
8         	51        	1         	A    	-127.9923825489	2.5919e-56    	24.773	24.773	4.2914	4.2914	7.0223	48.12	14.644	100.35
11        	22        	1         	A    	-50.5252413534	1.1407e-22    	4.402	4.402	10.951	10.951	5.155	1000	4.264	827.16
11        	23        	1         	A    	-35.3159876887	4.5969e-16    	4.3956	4.3956	11.112	11.112	0   	10.423	0   	1000
11        	24        	1         	A    	-35.3159876887	4.5969e-16    	4.3956	4.3956	11.112	11.112	0   	10.423	0   	1000
11        	44        	1         	A    	-56.0091966920	4.7371e-25    	4.4021	4.4021	10.948	10.948	7.5599	1000	4.4082	583.11
11        	45        	1         	A    	-35.3159876887	4.5969e-16    	4.3956	4.3956	11.112	11.112	0   	10.423	0   	1000
11        	46        	1         	A    	-51.2937764439	5.2893e-23    	4.3999	4.3999	11.004	11.004	5.2821	1000	3.8135	721.97
11        	47        	1         	A    	-35.3159876887	4.5969e-16    	4.3956	4.3956	11.112	11.112	0   	10.423	0   	1000
12        	13        	1         	A    	-95.7599336439	2.5822e-42    	7.6944	7.6944	13.512	13.512	1.0211	9.3362	15.089	137.96
12        	15        	1         	A    	-96.6493315494	1.061e-42     	7.7021	7.7021	13.507	13.507	5.1299	9.1398	39.656	70.654
12        	43        	1         	A    	-78.4956553763	8.124e-35     	7.8782	7.8782	13.402	13.402	10.97	3.5515	15.303	4.9541
12        	63        	1         	A    	-95.5446854796	3.2024e-42    	7.8328	7.8328	13.429	13.429	9.1453	70.121	8.6168	66.069
12        	64        	1         	A    	-95.5446854796	3.2024e-42    	7.8328	7.8328	13.429	13.429	9.1453	70.121	8.6168	66.069
12        	65        	1         	A    	-95.5446854796	3.2024e-42    	7.8328	7.8328	13.429	13.429	9.1453	70.121	8.6168	66.069
12        	66        	1         	A    	-95.5446854796	3.2024e-42    	7.8328	7.8328	13.429	13.429	9.1453	70.121	8.6168	66.069
12        	67        	1         	A    	-95.5446854796	3.2024e-42    	7.8328	7.8328	13.429	13.429	9.1453	70.121	8.6168	66.069
13        	15        	1         	A    	-74.0364840999	7.0204e-33    	8.5937	8.5937	14.475	14.475	1.9382	158.94	30.796	1000
13        	43        	1         	A    	-60.3710384667	6.0421e-27    	8.5625	8.5625	15.222	15.222	0.65086	130.14	6.2925	1000
13        	44        	1         	A    	-85.3293498104	8.7485e-38    	8.579	8.579	14.818	14.818	10.053	85.107	5.9179	50.099
15        	43        	1         	A    	-66.1527373052	1.8631e-29    	8.3537	8.3537	47.233	47.233	1.4803	83.351	10.051	565.96
7         	16        	1         	A    	-64.0260063462	1.5626e-28    	8.9917	8.9917	0   	0   	2.2482	9.0701	2.2482e-07	9.0701e-07
8         	16        	1         	A    	-116.0459192405	3.9985e-51    	24.61	24.61	4.3865	4.3865	3.887	0   	0   	0   
11        	16        	1         	A    	-54.2683962290	2.7011e-24    	4.3958	4.3958	11.107	11.107	2.2127	10.418	1.6581e-07	7.8073e-07
13        	16        	1         	A    	-62.7159562606	5.7917e-28    	8.5491	8.5491	15.569	15.569	0   	46.025	0   	1000
15        	16        	1         	A    	-62.8374588272	5.1291e-28    	8.3744	8.3744	47.729	47.729	0   	70.893	0   	1000
16        	22        	1         	A    	-63.2693532960	3.3302e-28    	3.0005	3.0005	0   	0   	9.5061	1000	6.3168	664.5
16        	23        	1         	A    	-30.5442088571	5.4302e-14    	3.0005	3.0005	0   	0   	0   	1000	0   	1000
16        	24        	1         	A    	-30.5442088571	5.4302e-14    	3.0005	3.0005	0   	0   	0   	1000	0   	1000
16        	43        	1         	A    	-49.9237079098	2.0817e-22    	3.0005	3.0005	0   	0   	3.3837	1000	12.481	1000
16        	44        	1         	A    	-67.6017940120	4.3744e-30    	3.0005	3.0005	0   	0   	12.082	1000	5.8065	480.6
16        	45        	1         	A    	-30.5442088571	5.4302e-14    	3.0005	3.0005	0   	0   	0   	1000	0   	1000
16        	47        	1         	A    	-30.5442088571	5.4302e-14    	3.0005	3.0005	0   	0   	0   	1000	0   	1000
21        	95        	1         	A    	-20.3640346836	1.4322e-09    	1.0318	1.0318	0   	0   	3.2746	1000	0   	0   
21        	100       	1         	A    	-20.3640346836	1.4322e-09    	1.0318	1.0318	0   	0   	3.2746	1000	0   	0   
21        	101       	1         	A    	-20.3640346836	1.4322e-09    	1.0318	1.0318	0   	0   	3.2746	1000	0   	0   
22        	44        	1         	A    	-53.9661362935	3.6543e-24    	10.736	10.736	6.1843	6.1843	1.8441	1000	2.853	1000
22        	46        	1         	A    	-72.6131472223	2.9141e-32    	10.706	10.706	6.2767	6.2767	5.3946	41.261	5.3816	41.162
22        	60        	1         	A    	-72.4207340619	3.5324e-32    	10.729	10.729	6.2052	6.2052	5.2948	50.304	0   	0   
