Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	I    	-11.4994044857	1.0136e-05    	1.0334	1.0334	0   	0   	1.0292	1.0292	0   	0   
4         	95        	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
4         	100       	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
4         	101       	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
7         	8         	1         	I    	-129.8808700301	3.9215e-57    	8.9205	8.9205	1e-07	1e-07	24.837	24.837	4.2552	4.2552
7         	22        	1         	I    	-78.0932560190	1.2149e-34    	9.0307	9.0307	0   	0   	10.648	10.648	6.4613	6.4613
7         	23        	1         	I    	-47.3096273533	2.8424e-21    	8.9941	8.9941	0   	0   	1   	1   	0.97154	0.97154
7         	24        	1         	I    	-47.3096273533	2.8424e-21    	8.9941	8.9941	0   	0   	1   	1   	0.97154	0.97154
7         	43        	1         	I    	-65.0455524077	5.6374e-29    	8.9905	8.9905	0   	0   	4.2892	4.2892	14.834	14.834
7         	44        	1         	I    	-82.2552492160	1.8923e-36    	9.0309	9.0309	0   	0   	13.232	13.232	5.9283	5.9283
7         	45        	1         	I    	-47.3096273533	2.8424e-21    	8.9941	8.9941	0   	0   	1   	1   	0.97154	0.97154
7         	47        	1         	I    	-47.3096273533	2.8424e-21    	8.9941	8.9941	0   	0   	1   	1   	0.97154	0.97154
8         	22        	1         	I    	-132.3069864630	3.4658e-58    	24.894	24.894	4.2236	4.2236	10.58	10.58	6.698	6.698
8         	43        	1         	I    	-117.9436762813	5.9939e-52    	24.672	24.672	4.3495	4.3495	4.2839	4.2839	15.09	15.09
8         	44        	1         	I    	-137.1525378147	2.7253e-60    	24.958	24.958	4.1888	4.1888	13.115	13.115	6.2013	6.2013
8         	51        	1         	I    	-131.3414763294	9.1017e-58    	24.841	24.841	4.2527	4.2527	11.314	11.314	14.669	14.669
11        	22        	1         	I    	-69.7948916815	4.8805e-31    	4.3752	4.3752	11.66	11.66	10.75	10.75	6.1417	6.1417
11        	23        	1         	I    	-37.6586825703	4.4161e-17    	4.3964	4.3964	11.092	11.092	1.0001	1.0001	0   	0   
11        	24        	1         	I    	-37.6586825703	4.4161e-17    	4.3964	4.3964	11.092	11.092	1.0001	1.0001	0   	0   
11        	44        	1         	I    	-73.9319565302	7.794e-33     	4.3753	4.3753	11.658	11.658	13.362	13.362	5.658	5.658
11        	45        	1         	I    	-37.6586825703	4.4161e-17    	4.3964	4.3964	11.092	11.092	1.0001	1.0001	0   	0   
11        	46        	1         	I    	-62.5605588134	6.7654e-28    	4.3805	4.3805	11.514	11.514	8.6277	8.6277	5.3005	5.3005
11        	47        	1         	I    	-37.6586825703	4.4161e-17    	4.3964	4.3964	11.092	11.092	1.0001	1.0001	0   	0   
12        	13        	1         	I    	-96.3946090372	1.3688e-42    	7.6748	7.6748	13.524	13.524	8.5099	8.5099	16.689	16.689
12        	15        	1         	I    	-96.8615759905	8.5813e-43    	7.6847	7.6847	13.518	13.518	8.3182	8.3182	52.283	52.283
12        	43        	1         	I    	-78.8674703873	5.6014e-35    	7.798	7.798	13.449	13.449	4.2817	4.2817	15.201	15.201
12        	63        	1         	I    	-100.7337749972	1.786e-44     	8.012	8.012	13.327	13.327	9.3395	9.3395	16.205	16.205
12        	64        	1         	I    	-100.7337749972	1.786e-44     	8.012	8.012	13.327	13.327	9.3395	9.3395	16.205	16.205
12        	65        	1         	I    	-100.7337749972	1.786e-44     	8.012	8.012	13.327	13.327	9.3395	9.3395	16.205	16.205
12        	66        	1         	I    	-100.7337749972	1.786e-44     	8.012	8.012	13.327	13.327	9.3395	9.3395	16.205	16.205
12        	67        	1         	I    	-100.7337749972	1.786e-44     	8.012	8.012	13.327	13.327	9.3395	9.3395	16.205	16.205
13        	15        	1         	I    	-91.4378516931	1.9456e-40    	8.627	8.627	13.759	13.759	8.3113	8.3113	53.393	53.393
13        	43        	1         	I    	-72.7251083728	2.6055e-32    	8.6 	8.6 	14.334	14.334	4.2742	4.2742	15.59	15.59
13        	44        	1         	I    	-88.5215960194	3.5938e-39    	8.5353	8.5353	15.944	15.944	13.345	13.345	5.6917	5.6917
15        	43        	1         	I    	-73.3588377873	1.3825e-32    	8.3559	8.3559	46.962	46.962	4.2985	4.2985	14.402	14.402
7         	16        	1         	I    	-64.5541662478	9.2147e-29    	8.9941	8.9941	0   	0   	3.0004	3.0004	1e-07	1e-07
8         	16        	1         	I    	-116.8213044006	1.8414e-51    	24.601	24.601	4.392	4.392	3.0004	3.0004	1e-07	1e-07
11        	16        	1         	I    	-54.9031866072	1.4317e-24    	4.3963	4.3963	11.092	11.092	3.0005	3.0005	0   	0   
13        	16        	1         	I    	-70.8638051095	1.6759e-31    	8.566	8.566	15.134	15.134	3.0005	3.0005	0   	0   
15        	16        	1         	I    	-72.2184092571	4.3246e-32    	8.3707	8.3707	45.167	45.167	3.0005	3.0005	0   	0   
16        	22        	1         	I    	-67.7393368637	3.8122e-30    	3.0004	3.0004	1e-07	1e-07	10.694	10.694	6.3123	6.3123
16        	23        	1         	I    	-38.3249159299	2.2683e-17    	3.0005	3.0005	0   	0   	1   	1   	0.96094	0.96094
16        	24        	1         	I    	-38.3249159299	2.2683e-17    	3.0005	3.0005	0   	0   	1   	1   	0.96094	0.96094
16        	43        	1         	I    	-55.3682366074	8.9925e-25    	3.0005	3.0005	0   	0   	4.2908	4.2908	14.755	14.755
16        	44        	1         	I    	-71.8899656466	6.006e-32     	3.0004	3.0004	1e-07	1e-07	13.291	13.291	5.8019	5.8019
16        	45        	1         	I    	-38.3249159299	2.2683e-17    	3.0005	3.0005	0   	0   	1   	1   	0.96094	0.96094
16        	47        	1         	I    	-38.3249159299	2.2683e-17    	3.0005	3.0005	0   	0   	1   	1   	0.96094	0.96094
21        	95        	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
21        	100       	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
21        	101       	1         	I    	-24.0620627223	3.548e-11     	1.0292	1.0292	0   	0   	4.3735	4.3735	0   	0   
22        	44        	1         	I    	-90.2472235878	6.3992e-40    	10.526	10.526	6.8977	6.8977	13.51	13.51	5.383	5.383
22        	46        	1         	I    	-75.4260228666	1.7494e-33    	10.737	10.737	6.1815	6.1815	8.5573	8.5573	5.4948	5.4948
22        	60        	1         	I    	-76.5621666342	5.6166e-34    	10.631	10.631	6.5173	6.5173	9.6913	9.6913	0   	0   
8         	23        	1         	I    	-99.5767662156	5.6802e-44    	24.601	24.601	4.3919	4.3919	1   	1   	0.99333	0.99333
13        	23        	1         	I    	-53.6193010714	5.1693e-24    	8.566	8.566	15.134	15.134	1.0001	1.0001	0   	0   
15        	23        	1         	I    	-54.9739052018	1.3339e-24    	8.3707	8.3707	45.166	45.166	1.0001	1.0001	0   	0   
22        	23        	1         	I    	-50.4947984921	1.1759e-22    	10.694	10.694	6.3121	6.3121	0.99991	0.99991	0.9831	0.9831
23        	24        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
23        	43        	1         	I    	-38.1237325677	2.7738e-17    	1.0001	1.0001	0   	0   	4.2908	4.2908	14.755	14.755
23        	44        	1         	I    	-54.6454292097	1.8526e-24    	1   	1   	1.0439	1.0439	13.291	13.291	5.8019	5.8019
23        	45        	1         	I    	-21.0804112947	6.9967e-10    	1.0001	1.0001	0.94044	0.94044	1.0001	1.0001	0   	0   
