Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	L    	-5.4906889147 	0.004125      	1.0318	-   	0   	-0  	0   	1000	0   	0   
4         	95        	1         	L    	-20.3077645794	1.5151e-09    	1.0916	0   	0   	0   	3.2747	1000	0   	0   
4         	100       	1         	L    	-20.3077645794	1.5151e-09    	1.0916	0   	0   	0   	3.2747	1000	0   	0   
4         	101       	1         	L    	-20.3077645794	1.5151e-09    	1.0916	0   	0   	0   	3.2747	1000	0   	0   
7         	8         	1         	L    	-110.6624348647	8.7079e-49    	9.0865	8.5861	0   	0   	15.575	1000	4.4489	285.64
7         	22        	1         	L    	-75.2567061797	2.0722e-33    	10.889	0   	0   	0   	8.1009	28.832	6.4397	22.92
7         	23        	1         	L    	-42.4496448645	3.6674e-19    	7.8698	1000	7.8698e-07	0.0001	1.1243	0   	0   	0   
7         	24        	1         	L    	-42.4496448645	3.6674e-19    	7.8698	1000	7.8698e-07	0.0001	1.1243	0   	0   	0   
7         	43        	1         	L    	-63.4103134225	2.8923e-28    	7.2993	29.836	7.2993e-07	2.9836e-06	4.8619	0   	14.752	0   
7         	44        	1         	L    	-79.7498822470	2.3177e-35    	11.103	0   	0   	0   	11.011	28.814	5.9042	15.45
7         	45        	1         	L    	-42.4496448645	3.6674e-19    	7.8698	1000	7.8698e-07	0.0001	1.1243	0   	0   	0   
7         	47        	1         	L    	-42.4496448645	3.6674e-19    	7.8698	1000	7.8698e-07	0.0001	1.1243	0   	0   	0   
8         	22        	1         	L    	-120.8138871872	3.3978e-53    	11.873	102.78	4.5627	39.497	13.241	0   	6.0582	0   
8         	43        	1         	L    	-115.7131582838	5.5772e-51    	21.833	74.031	4.3854	14.87	5.4499	0   	14.327	0   
8         	44        	1         	L    	-123.9394058283	1.4921e-54    	10.499	103.66	4.5979	45.398	16.354	0   	5.5557	0   
8         	51        	1         	L    	-127.7870440955	3.1827e-56    	25.815	14.146	4.4045	2.4135	7.0247	48.092	14.63	100.16
11        	22        	1         	L    	-50.2142419287	1.5568e-22    	4.7586	0   	10.95	0   	5.1561	1000	4.2597	826.14
11        	23        	1         	L    	-32.0272017237	1.2324e-14    	3.2974	1000	11.092	1000	1.1064	0   	0   	0   
11        	24        	1         	L    	-32.0272017237	1.2324e-14    	3.2974	1000	11.092	1000	1.1064	0   	0   	0   
11        	44        	1         	L    	-55.6319599814	6.9079e-25    	4.8384	0   	10.947	0   	7.5624	1000	4.4019	582.08
11        	45        	1         	L    	-32.0272017237	1.2324e-14    	3.2974	1000	11.092	1000	1.1064	0   	0   	0   
11        	46        	1         	L    	-50.9532941577	7.4347e-23    	3.6846	10.536	11.002	31.459	5.2815	1000	3.8152	722.36
11        	47        	1         	L    	-32.0272017237	1.2324e-14    	3.2974	1000	11.092	1000	1.1064	0   	0   	0   
12        	13        	1         	L    	-91.8362545334	1.3062e-40    	3.8758	1000	13.487	1000	11.907	8.1575	16.908	11.584
12        	15        	1         	L    	-92.4136388921	7.3327e-41    	4.4062	1000	13.3	1000	15.815	7.8096	49.374	24.38
12        	43        	1         	L    	-73.9905644002	7.3503e-33    	3.9068	1000	13.45	1000	11.297	3.5672	14.387	4.5428
12        	63        	1         	L    	-95.1506401579	4.749e-42     	7.915	3.4273	15.16	6.5643	9.1355	69.966	8.6222	66.035
12        	64        	1         	L    	-95.1506401579	4.749e-42     	7.915	3.4273	15.16	6.5643	9.1355	69.966	8.6222	66.035
12        	65        	1         	L    	-95.1506401579	4.749e-42     	7.915	3.4273	15.16	6.5643	9.1355	69.966	8.6222	66.035
12        	66        	1         	L    	-95.1506401579	4.749e-42     	7.915	3.4273	15.16	6.5643	9.1355	69.966	8.6222	66.035
12        	67        	1         	L    	-95.1506401579	4.749e-42     	7.915	3.4273	15.16	6.5643	9.1355	69.966	8.6222	66.035
13        	15        	1         	L    	-60.9521360104	3.3793e-27    	0.89057	1000	2.7262	1000	8.5963	0   	50.402	0   
