Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	a    	-5.5219717694 	0.003998      	1   	1   	1   	1   	0   	1000	0   	1000
4         	95        	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
4         	100       	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
4         	101       	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
7         	8         	1         	a    	-112.6497913032	1.1935e-49    	8   	8   	8   	8   	13.062	1000	13.062	1000
7         	22        	1         	a    	-77.7413981338	1.7272e-34    	8   	8   	8   	8   	7.8109	28.897	7.8109	28.897
7         	23        	1         	a    	-46.0380850608	1.0137e-20    	8   	8   	8   	8   	0   	9.1027	0   	9.1027
7         	24        	1         	a    	-46.0380850608	1.0137e-20    	8   	8   	8   	8   	0   	9.1027	0   	9.1027
7         	43        	1         	a    	-65.8730121516	2.4644e-29    	8   	8   	8   	8   	5.6133	0   	5.6133	0   
7         	44        	1         	a    	-82.3640571749	1.6972e-36    	8   	8   	8   	8   	13.293	0   	13.293	0   
7         	45        	1         	a    	-46.0380850608	1.0137e-20    	8   	8   	8   	8   	0   	9.1027	0   	9.1027
7         	47        	1         	a    	-46.0380850608	1.0137e-20    	8   	8   	8   	8   	0   	9.1027	0   	9.1027
8         	22        	1         	a    	-130.4283819154	2.2682e-57    	20  	20  	20  	20  	4.8279	34.99	4.8279	34.99
8         	43        	1         	a    	-119.7937226542	9.4243e-53    	20  	20  	20  	20  	6.2118	0   	6.2118	0   
8         	44        	1         	a    	-134.8624461567	2.6914e-59    	20  	20  	20  	20  	6.0063	41.779	6.0063	41.779
8         	51        	1         	a    	-130.9752854559	1.3127e-57    	20  	20  	20  	20  	8.7153	48.736	8.7153	48.736
11        	22        	1         	a    	-50.8151877230	8.5358e-23    	5   	5   	5   	5   	5.0151	1000	5.0151	1000
11        	23        	1         	a    	-35.5987748981	3.4646e-16    	5   	5   	5   	5   	0   	10.409	0   	10.409
11        	24        	1         	a    	-35.5987748981	3.4646e-16    	5   	5   	5   	5   	0   	10.409	0   	10.409
11        	44        	1         	a    	-56.4300069895	3.11e-25      	5   	5   	5   	5   	7.0211	1000	7.0211	1000
11        	45        	1         	a    	-35.5987748981	3.4646e-16    	5   	5   	5   	5   	0   	10.409	0   	10.409
11        	46        	1         	a    	-51.6191445622	3.8202e-23    	5   	5   	5   	5   	5.011	1000	5.011	1000
11        	47        	1         	a    	-35.5987748981	3.4646e-16    	5   	5   	5   	5   	0   	10.409	0   	10.409
12        	13        	1         	a    	-96.6509614418	1.0593e-42    	12  	12  	12  	12  	14.185	8.149	14.185	8.149
12        	15        	1         	a    	-97.8270029619	3.2679e-43    	12  	12  	12  	12  	24.975	7.9556	24.975	7.9556
12        	43        	1         	a    	-78.7872234942	6.0694e-35    	12  	12  	12  	12  	12.73	3.5592	12.73	3.5592
12        	63        	1         	a    	-95.8194233198	2.4331e-42    	12  	12  	12  	12  	8.7962	66.285	8.7962	66.285
12        	64        	1         	a    	-95.8194233198	2.4331e-42    	12  	12  	12  	12  	8.7962	66.285	8.7962	66.285
12        	65        	1         	a    	-95.8194233198	2.4331e-42    	12  	12  	12  	12  	8.7962	66.285	8.7962	66.285
12        	66        	1         	a    	-95.8194233198	2.4331e-42    	12  	12  	12  	12  	8.7962	66.285	8.7962	66.285
12        	67        	1         	a    	-95.8194233198	2.4331e-42    	12  	12  	12  	12  	8.7962	66.285	8.7962	66.285
13        	15        	1         	a    	-77.0917734592	3.3073e-34    	9   	9   	9   	9   	3.1225	178.49	3.1225	178.49
13        	43        	1         	a    	-61.6387942661	1.7006e-27    	9   	9   	9   	9   	1.0273	150.75	1.0273	150.75
13        	44        	1         	a    	-85.5866409931	6.7639e-38    	9   	9   	9   	9   	9.3306	84.668	9.3306	84.668
15        	43        	1         	a    	-68.7210271195	1.4284e-30    	10  	10  	10  	10  	2.0701	88.575	2.0701	88.575
7         	16        	1         	a    	-64.9597155504	6.1426e-29    	8   	8   	8   	8   	2.247	9.0962	2.247	9.0962
8         	16        	1         	a    	-118.4540431295	3.598e-52     	20  	20  	20  	20  	3.8779	0   	3.8779	0   
11        	16        	1         	a    	-54.5511925592	2.0357e-24    	5   	5   	5   	5   	2.2127	10.405	2.2127	10.405
13        	16        	1         	a    	-62.8518091671	5.056e-28     	9   	9   	9   	9   	0   	45.821	0   	45.821
15        	16        	1         	a    	-64.5104565861	9.6264e-29    	10  	10  	10  	10  	0   	68.147	0   	68.147
16        	22        	1         	a    	-63.3520025874	3.066e-28     	3   	3   	3   	3   	9.0011	1000	9.0011	1000
16        	23        	1         	a    	-30.5446894965	5.4276e-14    	3   	3   	3   	3   	0   	1000	0   	1000
16        	24        	1         	a    	-30.5446894965	5.4276e-14    	3   	3   	3   	3   	0   	1000	0   	1000
16        	43        	1         	a    	-50.5588223258	1.103e-22     	3   	3   	3   	3   	4.0005	1000	4.0005	1000
16        	44        	1         	a    	-67.8987429120	3.2505e-30    	3   	3   	3   	3   	11.001	1000	11.001	1000
16        	45        	1         	a    	-30.5446894965	5.4276e-14    	3   	3   	3   	3   	0   	1000	0   	1000
16        	47        	1         	a    	-30.5446894965	5.4276e-14    	3   	3   	3   	3   	0   	1000	0   	1000
21        	95        	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
21        	100       	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
21        	101       	1         	a    	-20.6552128456	1.0704e-09    	1   	1   	1   	1   	3.0027	1000	3.0027	1000
22        	44        	1         	a    	-54.1866018632	2.9313e-24    	10  	10  	10  	10  	2.0151	1000	2.0151	1000
22        	46        	1         	a    	-72.7604179256	2.5151e-32    	10  	10  	10  	10  	5.3906	41.401	5.3906	41.401
22        	60        	1         	a    	-73.6283264900	1.0559e-32    	10  	10  	10  	10  	4.3749	46.681	4.3749	46.681
8         	23        	1         	a    	-100.4909894392	2.2768e-44    	20  	20  	20  	20  	0   	4.4299	0   	4.4299
13        	23        	1         	a    	-51.0415443492	6.8067e-23    	9   	9   	9   	9   	0   	14.967	0   	14.967
15        	23        	1         	a    	-53.4699399601	6.0021e-24    	10  	10  	10  	10  	0   	21.715	0   	21.715
22        	23        	1         	a    	-48.8293823330	6.2183e-22    	10  	10  	10  	10  	0   	6.1103	0   	6.1103
