Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	b    	-5.5219717694 	0.003998      	0   	1000	0   	1000	1   	1   	1   	1   
4         	95        	1         	b    	-21.5783790835	4.2524e-10    	0   	17.684	0   	17.684	4   	4   	4   	4   
4         	100       	1         	b    	-21.5783790835	4.2524e-10    	0   	17.684	0   	17.684	4   	4   	4   	4   
4         	101       	1         	b    	-21.5783790835	4.2524e-10    	0   	17.684	0   	17.684	4   	4   	4   	4   
7         	8         	1         	b    	-116.8974494377	1.7064e-51    	0   	63.248	0   	63.248	20  	20  	20  	20  
7         	22        	1         	b    	-77.8774748953	1.5074e-34    	9.4278	0   	9.4278	0   	10  	10  	10  	10  
7         	23        	1         	b    	-43.3849901867	1.4393e-19    	7.0002	1000	7.0002	1000	1   	1   	1   	1   
7         	24        	1         	b    	-43.3849901867	1.4393e-19    	7.0002	1000	7.0002	1000	1   	1   	1   	1   
7         	43        	1         	b    	-65.1533325432	5.0614e-29    	6.4372	29.49	6.4372	29.49	5   	5   	5   	5   
7         	44        	1         	b    	-82.1494749833	2.1035e-36    	9.5833	0   	9.5833	0   	12  	12  	12  	12  
7         	45        	1         	b    	-43.3849901867	1.4393e-19    	7.0002	1000	7.0002	1000	1   	1   	1   	1   
7         	47        	1         	b    	-43.3849901867	1.4393e-19    	7.0002	1000	7.0002	1000	1   	1   	1   	1   
8         	22        	1         	b    	-123.3478807894	2.6959e-54    	10.077	102.96	10.077	102.96	10  	10  	10  	10  
8         	43        	1         	b    	-119.0686629611	1.946e-52     	17.731	72.634	17.731	72.634	5   	5   	5   	5   
8         	44        	1         	b    	-126.9277399889	7.5159e-56    	9.0431	104.03	9.0431	104.03	12  	12  	12  	12  
8         	51        	1         	b    	-131.9834065627	4.79e-58      	16.568	52.831	16.568	52.831	12  	12  	12  	12  
11        	22        	1         	b    	-57.2980997328	1.3054e-25    	0   	68.896	0   	68.896	10  	10  	10  	10  
11        	23        	1         	b    	-32.5682088383	7.1747e-15    	4.0001	1000	4.0001	1000	1   	1   	1   	1   
11        	24        	1         	b    	-32.5682088383	7.1747e-15    	4.0001	1000	4.0001	1000	1   	1   	1   	1   
11        	44        	1         	b    	-62.5250516723	7.01e-28      	0   	58.298	0   	58.298	12  	12  	12  	12  
