Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	i    	-11.5610392766	9.5303e-06    	1   	1   	1   	1   	1   	1   	1   	1   
4         	95        	1         	i    	-24.4476686333	2.4128e-11    	1   	1   	1   	1   	4   	4   	4   	4   
4         	100       	1         	i    	-24.4476686333	2.4128e-11    	1   	1   	1   	1   	4   	4   	4   	4   
4         	101       	1         	i    	-24.4476686333	2.4128e-11    	1   	1   	1   	1   	4   	4   	4   	4   
7         	8         	1         	i    	-133.3021641780	1.2812e-58    	8   	8   	8   	8   	20  	20  	20  	20  
7         	22        	1         	i    	-79.1891216081	4.0607e-35    	8   	8   	8   	8   	10  	10  	10  	10  
7         	23        	1         	i    	-48.2452095719	1.1152e-21    	8   	8   	8   	8   	1   	1   	1   	1   
7         	24        	1         	i    	-48.2452095719	1.1152e-21    	8   	8   	8   	8   	1   	1   	1   	1   
7         	43        	1         	i    	-66.4509815850	1.3826e-29    	8   	8   	8   	8   	5   	5   	5   	5   
7         	44        	1         	i    	-83.5911189334	4.9755e-37    	8   	8   	8   	8   	12  	12  	12  	12  
7         	45        	1         	i    	-48.2452095719	1.1152e-21    	8   	8   	8   	8   	1   	1   	1   	1   
7         	47        	1         	i    	-48.2452095719	1.1152e-21    	8   	8   	8   	8   	1   	1   	1   	1   
8         	22        	1         	i    	-135.0019060397	2.3411e-59    	20  	20  	20  	20  	10  	10  	10  	10  
8         	43        	1         	i    	-120.8774716554	3.1885e-53    	20  	20  	20  	20  	5   	5   	5   	5   
8         	44        	1         	i    	-140.0970505455	1.4342e-61    	20  	20  	20  	20  	12  	12  	12  	12  
8         	51        	1         	i    	-133.9712760700	6.5617e-59    	20  	20  	20  	20  	12  	12  	12  	12  
11        	22        	1         	i    	-70.2706838122	3.0327e-31    	5   	5   	5   	5   	10  	10  	10  	10  
11        	23        	1         	i    	-37.9404774149	3.3317e-17    	5   	5   	5   	5   	1   	1   	1   	1   
11        	24        	1         	i    	-37.9404774149	3.3317e-17    	5   	5   	5   	5   	1   	1   	1   	1   
11        	44        	1         	i    	-74.6726811375	3.7159e-33    	5   	5   	5   	5   	12  	12  	12  	12  
11        	45        	1         	i    	-37.9404774149	3.3317e-17    	5   	5   	5   	5   	1   	1   	1   	1   
11        	46        	1         	i    	-62.9822812913	4.4375e-28    	5   	5   	5   	5   	8   	8   	8   	8   
11        	47        	1         	i    	-37.9404774149	3.3317e-17    	5   	5   	5   	5   	1   	1   	1   	1   
12        	13        	1         	i    	-96.8649308587	8.5525e-43    	12  	12  	12  	12  	9   	9   	9   	9   
12        	15        	1         	i    	-98.9670049054	1.0451e-43    	12  	12  	12  	12  	10  	10  	10  	10  
12        	43        	1         	i    	-79.6357766539	2.5979e-35    	12  	12  	12  	12  	5   	5   	5   	5   
12        	63        	1         	i    	-101.3669490241	9.4819e-45    	12  	12  	12  	12  	14  	14  	14  	14  
12        	64        	1         	i    	-101.3669490241	9.4819e-45    	12  	12  	12  	12  	14  	14  	14  	14  
12        	65        	1         	i    	-101.3669490241	9.4819e-45    	12  	12  	12  	12  	14  	14  	14  	14  
12        	66        	1         	i    	-101.3669490241	9.4819e-45    	12  	12  	12  	12  	14  	14  	14  	14  
12        	67        	1         	i    	-101.3669490241	9.4819e-45    	12  	12  	12  	12  	14  	14  	14  	14  
13        	15        	1         	i    	-93.3592602410	2.8483e-41    	9   	9   	9   	9   	10  	10  	10  	10  
13        	43        	1         	i    	-73.3348848089	1.416e-32     	9   	9   	9   	9   	5   	5   	5   	5   
13        	44        	1         	i    	-89.0887277962	2.0382e-39    	9   	9   	9   	9   	12  	12  	12  	12  
15        	43        	1         	i    	-75.4369588557	1.7304e-33    	10  	10  	10  	10  	5   	5   	5   	5   
7         	16        	1         	i    	-65.4901317449	3.6141e-29    	8   	8   	8   	8   	3   	3   	3   	3   
8         	16        	1         	i    	-119.2234746348	1.6669e-52    	20  	20  	20  	20  	3   	3   	3   	3   
11        	16        	1         	i    	-55.1853995879	1.0797e-24    	5   	5   	5   	5   	3   	3   	3   	3   
13        	16        	1         	i    	-70.9877406077	1.4805e-31    	9   	9   	9   	9   	3   	3   	3   	3   
15        	16        	1         	i    	-73.7829618350	9.0462e-33    	10  	10  	10  	10  	3   	3   	3   	3   
16        	22        	1         	i    	-67.8830207872	3.302e-30     	3   	3   	3   	3   	10  	10  	10  	10  
16        	23        	1         	i    	-38.3254031120	2.2672e-17    	3   	3   	3   	3   	1   	1   	1   	1   
16        	24        	1         	i    	-38.3254031120	2.2672e-17    	3   	3   	3   	3   	1   	1   	1   	1   
16        	43        	1         	i    	-55.8380279446	5.6215e-25    	3   	3   	3   	3   	5   	5   	5   	5   
