Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
4         	21        	1         	l    	-5.5219717694 	0.003998      	1   	-   	1   	-   	0   	1000	0   	1000
4         	95        	1         	l    	-20.6007748443	1.1303e-09    	1.056	0   	1.056	0   	3.0027	1000	3.0027	1000
4         	100       	1         	l    	-20.6007748443	1.1303e-09    	1.056	0   	1.056	0   	3.0027	1000	3.0027	1000
4         	101       	1         	l    	-20.6007748443	1.1303e-09    	1.056	0   	1.056	0   	3.0027	1000	3.0027	1000
7         	8         	1         	l    	-112.6466365382	1.1973e-49    	7.9176	8.6286	7.9176	8.6286	13.062	1000	13.062	1000
7         	22        	1         	l    	-76.4297514210	6.4118e-34    	9.4278	0   	9.4278	0   	7.8109	28.897	7.8109	28.897
7         	23        	1         	l    	-43.2682741051	1.6174e-19    	7.0002	1000	7.0002	1000	1.1238	0   	1.1238	0   
7         	24        	1         	l    	-43.2682741051	1.6174e-19    	7.0002	1000	7.0002	1000	1.1238	0   	1.1238	0   
7         	43        	1         	l    	-64.5753631119	9.0214e-29    	6.4372	29.49	6.4372	29.49	5.6133	0   	5.6133	0   
7         	44        	1         	l    	-81.1218363123	5.8781e-36    	9.5833	0   	9.5833	0   	10.043	28.879	10.043	28.879
7         	45        	1         	l    	-43.2682741051	1.6174e-19    	7.0002	1000	7.0002	1000	1.1238	0   	1.1238	0   
7         	47        	1         	l    	-43.2682741051	1.6174e-19    	7.0002	1000	7.0002	1000	1.1238	0   	1.1238	0   
8         	22        	1         	l    	-121.6657436815	1.4496e-53    	10.077	102.96	10.077	102.96	11.834	0   	11.834	0   
8         	43        	1         	l    	-117.9849139687	5.7518e-52    	17.731	72.634	17.731	72.634	6.2118	0   	6.2118	0   
8         	44        	1         	l    	-125.0182073798	5.0732e-55    	9.0431	104.03	9.0431	104.03	14.072	0   	14.072	0   
8         	51        	1         	l    	-130.8217044814	1.5306e-57    	20.694	12.219	20.694	12.219	8.7153	48.736	8.7153	48.736
11        	22        	1         	l    	-50.4633754262	1.2135e-22    	5.3652	0   	5.3652	0   	5.0151	1000	5.0151	1000
11        	23        	1         	l    	-32.4670218263	7.9387e-15    	4.0001	1000	4.0001	1000	1.1065	0   	1.1065	0   
11        	24        	1         	l    	-32.4670218263	7.9387e-15    	4.0001	1000	4.0001	1000	1.1065	0   	1.1065	0   
