IDe1      	IDe2      	Event1    	Event2    	Matrix	Pval    	Nobs	Max 
4         	21        	scaA      	scyC      	I    	1.260e-02	1   	1   
4         	95        	scaA      	blpO      	I    	4.946e-02	1   	4   
4         	100       	scaA      	blpG      	I    	4.946e-02	1   	4   
4         	101       	scaA      	blpV      	I    	4.946e-02	1   	4   
7         	8         	scbA      	scbB      	I    	3.101e-05	7   	20  
7         	22        	scbA      	scyD      	I    	1.107e-02	3   	10  
7         	23        	scbA      	scyE      	I    	4.930e-02	1   	1   
7         	24        	scbA      	slaA1     	I    	4.930e-02	1   	1   
7         	43        	scbA      	slcL      	I    	2.200e-02	2   	5   
7         	44        	scbA      	slcT      	I    	1.885e-02	3   	12  
7         	45        	scbA      	sldA      	I    	4.930e-02	1   	1   
7         	47        	scbA      	sldC      	I    	4.930e-02	1   	1   
8         	7         	scbB      	scbA      	I    	1.034e-06	7   	8   
8         	22        	scbB      	scyD      	I    	1.950e-04	6   	10  
8         	43        	scbB      	slcL      	I    	9.875e-03	3   	5   
8         	44        	scbB      	slcT      	I    	6.968e-05	7   	12  
8         	51        	scbB      	sleA2     	I    	3.029e-02	4   	12  
11        	22        	sccB      	scyD      	I    	4.206e-06	5   	10  
11        	23        	sccB      	scyE      	I    	2.850e-02	1   	1   
11        	24        	sccB      	slaA1     	I    	2.850e-02	1   	1   
11        	44        	sccB      	slcT      	I    	1.260e-05	5   	12  
11        	45        	sccB      	sldA      	I    	2.850e-02	1   	1   
11        	46        	sccB      	sldB      	I    	1.164e-03	3   	8   
11        	47        	sccB      	sldC      	I    	2.850e-02	1   	1   
12        	13        	sccC      	scdA      	I    	8.423e-06	6   	9   
12        	15        	sccC      	scdC      	I    	3.205e-04	5   	10  
12        	43        	sccC      	slcL      	I    	3.119e-03	3   	5   
12        	63        	sccC      	slgM      	I    	2.006e-03	5   	14  
12        	64        	sccC      	slgD      	I    	2.006e-03	5   	14  
12        	65        	sccC      	slgP1     	I    	2.006e-03	5   	14  
12        	66        	sccC      	slgT      	I    	2.006e-03	5   	14  
12        	67        	sccC      	slgP2     	I    	2.006e-03	5   	14  
13        	12        	scdA      	sccC      	I    	2.270e-05	6   	12  
13        	15        	scdA      	scdC      	I    	1.932e-07	7   	10  
13        	43        	scdA      	slcL      	I    	4.920e-05	4   	5   
13        	44        	scdA      	slcT      	I    	2.721e-02	3   	12  
15        	12        	scdC      	sccC      	I    	5.314e-04	5   	12  
15        	13        	scdC      	scdA      	I    	1.237e-07	7   	9   
