gene,genbank_accession,functions,cluster
sleM1,MF990787.1,Modification,Streptolancidin E
ssaA,MF990795.1,Bacteriocin precursor,Streptosactin
cibA,NC_003028.3,Bacteriocin precursor,Cib
cibB,NC_003028.3,Bacteriocin precursor,Cib
scaA,MF990778.1,Bacteriocin precursor,Streptococcin A
scbA,MF990779.1,Bacteriocin precursor,Streptococcin B
sccA,MF990780.1,Bacteriocin precursor,Streptococcin C
scdA,MF990781.1,Bacteriocin precursor,Streptococcin D
sceA,MF990782.1,Bacteriocin precursor,Streptococcin E
scyA,MF990796.1,Bacteriocin precursor,Streptocyclicin
slaA1,MF990783.1,Bacteriocin precursor,Streptolancidin A
slaA2,MF990783.1,Bacteriocin precursor,Streptolancidin A
slaA3,MF990783.1,Bacteriocin precursor,Streptolancidin A
slaA4,MF990783.1,Bacteriocin precursor,Streptolancidin A
slaA5,MF990783.1,Bacteriocin precursor,Streptolancidin A
slbA,MF990784.1,Bacteriocin precursor,Streptolancidin B
slcA,MF990785.1,Bacteriocin precursor,Streptolancidin C
sldA,MF990786.1,Bacteriocin precursor,Streptolancidin D
sleA1 ,MF990787.1,Bacteriocin precursor,Streptolancidin E
sleA2,MF990787.1,Bacteriocin precursor,Streptolancidin E
slfA,MF990788.1,Bacteriocin precursor,Streptolancidin F
slgA1,MF990789.1,Bacteriocin precursor,Streptolancidin G
slgA2,MF990789.1,Bacteriocin precursor,Streptolancidin G
slhA,MF990790.1,Bacteriocin precursor,Streptolancidin H
sliA,MF990791.1,Bacteriocin precursor,Streptolancidin I
sljA1,MF990792.1,Bacteriocin precursor,Streptolancidin J
sljA2,MF990792.1,Bacteriocin precursor,Streptolancidin J
slkA,MF990793.1,Bacteriocin precursor,Streptolancidin K
slsA,MF990794.1,Bacteriocin precursor,Streptolassin
blpO,na,Bacteriocin precursor,blp
blpQ,na,Bacteriocin precursor,blp
pncT,na,Bacteriocin precursor,blp
blpD,na,Bacteriocin precursor,blp
blpE,na,Bacteriocin precursor,blp
blpW,na,Bacteriocin precursor,blp
pncW,na,Bacteriocin precursor,blp
blpI2,na,Bacteriocin precursor,blp
blpKN,na,Bacteriocin precursor,blp
blpMN1,na,Bacteriocin precursor,blp
blpMN2,na,Bacteriocin precursor,blp
blpQM,na,Bacteriocin precursor,blp
blpI,na,Bacteriocin precursor,blp
blpJ,na,Bacteriocin precursor,blp
